,City,Country,Latitude,longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
427,Port Alfred,ZA,-33.59,26.89,63.88,69,100,6.42
428,San Cristobal,VE,7.77,-72.22,75.2,94,75,2.24
429,Pochutla,MX,15.74,-96.47,73.99,93,0,3.24
430,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
431,Punta Arenas,CL,-53.15,-70.92,51.8,62,20,11.41
432,Middle Island,US,40.88,-72.94,55.69,93,1,9.62
433,Syriam,MM,16.77,96.24,84.2,70,8,3.36
434,Hobart,AU,-42.88,147.33,62.71,60,0,6.93
435,New Norfolk,AU,-42.78,147.06,61.03,57,0,2.77
436,Busselton,AU,-33.65,115.33,51.64,72,56,7.2
437,Atuona,PF,-9.8,-139.03,77.32,76,3,14.5
438,Thompson,CA,55.74,-97.86,10.4,100,90,2.24
439,Atuona,PF,-9.8,-139.03,77.32,76,3,14.5
440,Punta Arenas,CL,-53.15,-70.92,51.8,62,20,11.41
441,Hualmay,PE,-11.1,-77.61,64.33,76,78,5.57
442,La Palma,US,33.85,-118.05,45.72,70,1,2.42
443,Hefei,CN,31.86,117.28,58.59,50,0,4.47
444,Nantucket,US,41.28,-70.1,56.14,93,20,6.93
445,Tiksi,RU,71.69,128.87,-9.62,89,98,5.46
446,Mataura,NZ,-46.19,168.86,46.99,92,2,1.21
447,Tura,IN,25.52,90.22,67.17,83,0,3.56
448,Port Elizabeth,ZA,-33.92,25.57,66.2,68,75,10.29
449,Sitka,US,57.05,-135.33,33.8,80,1,5.17
450,Chui,UY,-33.7,-53.46,59.36,89,100,11.39
451,Kādīpur,IN,26.17,82.38,74.44,33,0,3.58
452,Necochea,AR,-38.55,-58.74,68.0,69,36,8.99
453,Twentynine Palms,US,34.14,-116.05,37.4,47,1,5.82
454,Beloha,MG,-25.17,45.05,89.46,39,0,13.13
455,Esperance,AU,-33.87,121.9,53.6,100,90,25.28
456,Kapaa,US,22.08,-159.32,76.03,74,75,13.87
457,Lebu,CL,-37.62,-73.65,56.88,72,20,17.6
458,Bethel,US,41.37,-73.41,49.28,100,90,5.59
459,São Félix do Xingu,BR,-6.64,-51.99,88.5,57,100,1.68
460,Vaini,TO,-21.2,-175.2,75.2,88,40,5.82
461,Cape Town,ZA,-33.93,18.42,66.2,45,0,28.86
462,Tezu,IN,27.92,96.17,70.66,56,0,3.58
463,Murgab,TM,37.5,61.97,64.4,34,0,9.17
464,Río Gallegos,AR,-51.62,-69.22,53.6,71,0,3.36
465,Saint-Augustin,CA,51.23,-58.65,43.38,94,100,16.87
466,Bud,US,39.45,-86.18,61.65,87,90,5.82
467,Puerto Ayora,EC,-0.74,-90.35,66.0,92,99,9.48
468,Santo Antônio do Sudoeste,BR,-26.07,-53.73,77.54,60,89,5.01
469,Katsuura,JP,35.13,140.3,55.17,62,75,5.82
470,Punta Arenas,CL,-53.15,-70.92,51.8,62,20,11.41
471,Guerrero Negro,MX,27.98,-114.06,58.95,64,1,9.98
472,Bilma,NE,18.69,12.92,82.63,19,0,4.65
473,Saint Paul Harbor,US,57.79,-152.41,30.2,80,1,4.7
474,Bonthe,SL,7.53,-12.51,87.22,66,34,2.84
475,Tuktoyaktuk,CA,69.45,-133.04,-6.36,89,0,8.3
476,Port Lincoln,AU,-34.73,135.87,61.29,68,89,20.0
477,Jamestown,US,42.1,-79.24,54.18,81,1,9.17
478,Bambous Virieux,MU,-20.34,57.76,78.42,65,40,11.41
479,Mataura,NZ,-46.19,168.86,46.99,92,2,1.21
480,Coquimbo,CL,-29.95,-71.34,53.6,93,90,3.36
481,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
482,Narsaq,GL,60.92,-46.05,23.0,85,75,3.36
483,Busselton,AU,-33.65,115.33,51.64,72,56,7.2
484,Conceição do Araguaia,BR,-8.26,-49.26,89.2,60,100,1.99
485,Port Elizabeth,ZA,-33.92,25.57,66.2,68,75,10.29
486,Clonakilty,IE,51.62,-8.87,52.41,87,75,14.99
487,Saint-Philippe,RE,-21.36,55.77,71.47,69,90,20.8
488,Beloha,MG,-25.17,45.05,89.46,39,0,13.13
489,Hobart,AU,-42.88,147.33,62.71,60,0,6.93
490,Busselton,AU,-33.65,115.33,51.64,72,56,7.2
491,Severo-Yeniseyskiy,RU,60.37,93.04,26.26,98,100,6.55
492,Thompson,CA,55.74,-97.86,10.4,100,90,2.24
493,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
494,Busselton,AU,-33.65,115.33,51.64,72,56,7.2
495,Águia Branca,BR,-18.98,-40.74,77.76,72,100,5.5
496,Muros,ES,42.78,-9.06,59.65,76,20,6.93
497,East London,ZA,-33.02,27.91,66.2,68,20,3.36
498,Port Alfred,ZA,-33.59,26.89,63.88,69,100,6.42
499,Saint-Joseph,RE,-21.37,55.62,72.93,69,90,20.8
500,Cidreira,BR,-30.18,-50.21,71.82,87,4,12.1
501,Hermanus,ZA,-34.42,19.23,71.01,48,0,8.99
502,Vaini,TO,-21.2,-175.2,75.2,88,40,5.82
503,Bluff,NZ,-46.6,168.33,46.99,92,7,4.65
504,Chui,UY,-33.7,-53.46,59.36,89,100,11.39
505,Alamosa,US,37.47,-105.87,10.4,85,1,4.7
506,Erenhot,CN,43.65,111.98,43.0,54,2,9.75
507,Grindavik,IS,63.84,-22.43,39.2,80,20,13.87
508,Nador,MA,35.17,-2.93,69.8,64,0,5.82
509,Busselton,AU,-33.65,115.33,51.64,72,56,7.2
510,Severo-Kuril'sk,RU,50.68,156.12,36.55,78,100,13.38
511,Carnarvon,AU,-24.87,113.63,68.0,64,0,20.8
512,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
513,Vestmannaeyjar,IS,63.44,-20.27,42.8,70,20,17.22
514,Buala,SB,-8.14,159.59,80.67,78,100,4.94
515,Vardø,NO,70.37,31.11,33.8,80,75,19.46
516,Chui,UY,-33.7,-53.46,59.36,89,100,11.39
517,New Norfolk,AU,-42.78,147.06,61.03,57,0,2.77
518,Port Elizabeth,ZA,-33.92,25.57,66.2,68,75,10.29
519,Kaitangata,NZ,-46.28,169.85,50.0,82,8,4.0
520,Nanortalik,GL,60.14,-45.24,29.95,91,35,21.97
521,Ruteng,ID,-8.61,120.47,65.19,100,100,1.23
522,Arraial do Cabo,BR,-22.97,-42.03,78.8,78,90,10.29
523,Atuona,PF,-9.8,-139.03,77.32,76,3,14.5
524,Tabou,CI,4.42,-7.35,81.57,81,100,11.65
525,Bredasdorp,ZA,-34.53,20.04,69.8,40,0,17.22
526,Buraidah,SA,26.33,43.98,87.8,40,75,9.17
527,Ozernovskiy,RU,51.5,156.52,36.39,76,100,8.28
528,Mossamedes,AO,-15.2,12.15,80.6,69,40,11.41
529,Jamestown,US,42.1,-79.24,54.18,81,1,9.17
530,Sālūmbar,IN,24.13,74.05,80.6,30,0,2.24
531,Butaritari,KI,3.07,172.79,81.81,78,6,8.81
532,Ixtapa,MX,20.7,-105.2,73.0,85,100,3.06
533,Charters Towers,AU,-20.1,146.27,69.6,76,0,16.08
534,Abu Samrah,SY,35.3,37.18,70.14,45,0,7.87
535,Bredasdorp,ZA,-34.53,20.04,69.8,40,0,17.22
536,Chui,UY,-33.7,-53.46,59.36,89,100,11.39
537,Maniitsoq,GL,65.42,-52.9,16.74,94,100,9.8
538,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
539,Egvekinot,RU,66.32,-179.17,21.36,94,100,21.45
540,Berlevåg,NO,70.86,29.09,35.4,83,75,28.86
541,Ixtapa,MX,20.7,-105.2,73.0,85,100,3.06
542,Plovdiv,BG,42.15,24.75,56.7,62,90,6.93
543,George Town,MY,5.41,100.34,83.23,79,20,3.36
544,Lüderitz,NA,-26.65,15.16,77.9,26,0,33.62
545,Barrow,US,71.29,-156.79,10.4,78,1,25.28
546,Port Alfred,ZA,-33.59,26.89,63.88,69,100,6.42
547,Cape Town,ZA,-33.93,18.42,66.2,45,0,28.86
548,Cape Town,ZA,-33.93,18.42,66.2,45,0,28.86
549,Busselton,AU,-33.65,115.33,51.64,72,56,7.2
550,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
551,Katsuura,JP,35.13,140.3,55.17,62,75,5.82
552,Saint George,US,37.1,-113.58,30.85,86,1,2.24
553,Vaini,TO,-21.2,-175.2,75.2,88,40,5.82
554,Albany,US,42.6,-73.97,48.97,100,1,2.73
555,Abbeville,FR,50.1,1.83,57.51,81,52,5.7
556,Cidreira,BR,-30.18,-50.21,71.82,87,4,12.1
557,Guerrero Negro,MX,27.98,-114.06,58.95,64,1,9.98
558,Mataura,NZ,-46.19,168.86,46.99,92,2,1.21
559,Luba,GQ,3.46,8.55,80.69,77,94,8.63
560,Cape Town,ZA,-33.93,18.42,66.2,45,0,28.86
561,Portland,US,45.52,-122.68,41.22,87,90,10.29
562,Iqaluit,CA,63.75,-68.51,10.4,72,75,19.46
563,Bluff,NZ,-46.6,168.33,46.99,92,7,4.65
564,Albany,US,42.6,-73.97,48.97,100,1,2.73
565,Bathsheba,BB,13.22,-59.52,84.2,79,40,16.11
566,Mount Isa,AU,-20.73,139.5,86.0,35,79,6.93
567,Kathu,TH,7.92,98.33,84.34,88,40,3.36
568,Nouadhibou,MR,20.93,-17.03,84.2,28,0,9.17
569,La Ronge,CA,55.1,-105.28,14.0,78,68,6.93
570,Trelleborg,SE,55.38,13.16,47.53,87,90,9.17
571,Pisco,PE,-13.7,-76.22,63.79,82,90,2.24
572,Albany,US,42.6,-73.97,48.97,100,1,2.73
573,Mataura,NZ,-46.19,168.86,46.99,92,2,1.21
574,Ustka,PL,54.58,16.86,47.7,68,0,9.8
575,Djibouti,DJ,11.5,42.5,86.0,62,1,11.41
576,Kayerkan,RU,69.35,87.76,-2.2,84,40,11.18
577,Edson,CA,53.58,-116.44,30.2,74,90,4.7
578,Athabasca,CA,54.72,-113.29,30.2,92,100,4.7
579,Hobart,AU,-42.88,147.33,62.71,60,0,6.93
580,Arawa,PG,-6.21,155.54,78.53,79,93,2.04
581,Nikolskoye,RU,59.7,30.79,37.69,64,0,8.95
582,Sun City West,US,33.66,-112.34,47.1,56,1,6.93
583,Magadan,RU,59.57,150.8,3.34,83,0,8.12
584,Worland,US,44.02,-107.96,10.4,92,1,5.82
585,Çumra,TR,37.57,32.77,59.0,44,0,6.93
586,El Salvador,SV,13.83,-88.92,71.35,100,40,2.24
587,Huarmey,PE,-10.07,-78.15,64.65,75,57,3.67
588,Faanui,PF,-16.48,-151.75,76.35,79,100,9.33
589,Tirlyanskiy,RU,54.21,58.58,23.45,95,93,4.16
590,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
591,Cape Town,ZA,-33.93,18.42,66.2,45,0,28.86
592,Yellowknife,CA,62.46,-114.35,0.63,70,40,16.11
593,Bozova,TR,37.36,38.53,65.3,68,75,3.36
594,Jamestown,US,42.1,-79.24,54.18,81,1,9.17
595,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
596,Hamada,JP,34.88,132.08,50.0,11,93,5.17
597,Bengkulu,ID,-3.8,102.27,77.81,83,100,1.61
598,Hermanus,ZA,-34.42,19.23,71.01,48,0,8.99
599,Bandarbeyla,SO,9.49,50.81,79.03,75,0,14.9
600,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
601,Huarmey,PE,-10.07,-78.15,64.65,75,57,3.67
602,Juneau,US,58.3,-134.42,24.21,92,40,5.59
603,Butaritari,KI,3.07,172.79,81.81,78,6,8.81
604,Antofagasta,CL,-23.65,-70.4,62.6,72,90,4.7
605,Ayan,RU,56.45,138.17,12.56,83,29,6.96
606,Bengkulu,ID,-3.8,102.27,77.81,83,100,1.61
607,Sur,OM,22.57,59.53,80.98,62,0,7.14
608,Chui,UY,-33.7,-53.46,59.36,89,100,11.39
609,Valdivia,CL,-39.81,-73.25,55.4,82,90,6.93
610,Fort Dodge,US,42.5,-94.17,30.92,100,90,14.99
611,Mahébourg,MU,-20.41,57.7,78.8,65,40,11.41
612,Port Hedland,AU,-20.32,118.57,78.8,78,0,12.75
613,Port Alfred,ZA,-33.59,26.89,63.88,69,100,6.42
614,Chui,UY,-33.7,-53.46,59.36,89,100,11.39
615,Punta Arenas,CL,-53.15,-70.92,51.8,62,20,11.41
616,Chokurdakh,RU,70.63,147.92,-11.38,91,98,2.84
617,Busselton,AU,-33.65,115.33,51.64,72,56,7.2
618,New Norfolk,AU,-42.78,147.06,61.03,57,0,2.77
619,Hobart,AU,-42.88,147.33,62.71,60,0,6.93
620,New Norfolk,AU,-42.78,147.06,61.03,57,0,2.77
621,Punta Arenas,CL,-53.15,-70.92,51.8,62,20,11.41
622,Bredasdorp,ZA,-34.53,20.04,69.8,40,0,17.22
623,Khovd,MN,48.01,91.64,33.8,69,72,8.5
624,Hermanus,ZA,-34.42,19.23,71.01,48,0,8.99
625,Norman Wells,CA,65.28,-126.83,-9.4,76,75,1.86
626,Hilo,US,19.73,-155.09,68.83,88,90,3.36
627,Albany,US,42.6,-73.97,48.97,100,1,2.73
628,Todos Santos,MX,23.45,-110.22,65.03,76,0,10.96
629,Hermanus,ZA,-34.42,19.23,71.01,48,0,8.99
630,Busselton,AU,-33.65,115.33,51.64,72,56,7.2
631,Port Alfred,ZA,-33.59,26.89,63.88,69,100,6.42
632,Terenos,BR,-20.44,-54.86,75.2,69,40,16.11
633,Punta Arenas,CL,-53.15,-70.92,51.8,62,20,11.41
634,Puerto Ayora,EC,-0.74,-90.35,66.0,92,99,9.48
635,Barrow,US,71.29,-156.79,10.4,78,1,25.28
636,Mataura,NZ,-46.19,168.86,46.99,92,2,1.21
637,Punta Arenas,CL,-53.15,-70.92,51.8,62,20,11.41
638,Assiut,EG,27.18,31.18,79.25,26,0,12.21
639,Conceição do Araguaia,BR,-8.26,-49.26,89.2,60,100,1.99
640,Busselton,AU,-33.65,115.33,51.64,72,56,7.2
641,Jamestown,US,42.1,-79.24,54.18,81,1,9.17
642,Punta Arenas,CL,-53.15,-70.92,51.8,62,20,11.41
643,Ahipara,NZ,-35.17,173.17,56.82,79,27,12.48
644,Albany,US,42.6,-73.97,48.97,100,1,2.73
645,Lorengau,PG,-2.02,147.27,82.8,72,71,6.69
646,Saint Paul Harbor,US,57.79,-152.41,30.2,80,1,4.7
647,Souillac,MU,-20.52,57.52,78.8,65,40,11.41
648,Barrow,US,71.29,-156.79,10.4,78,1,25.28
649,Freeport,US,40.66,-73.58,54.75,93,90,9.57
650,Aksarka,RU,66.56,67.8,6.08,92,2,6.58
651,Muyezerskiy,RU,63.93,31.65,29.5,94,0,7.25
652,Walvis Bay,NA,-22.96,14.51,61.0,79,0,14.72
653,Caorle,IT,45.6,12.88,62.15,44,0,4.7
654,Huarmey,PE,-10.07,-78.15,64.65,75,57,3.67
655,Yar-Sale,RU,66.83,70.83,9.23,92,82,8.01
656,Ancud,CL,-41.87,-73.82,55.53,76,0,11.41
657,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
658,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
659,Mataura,NZ,-46.19,168.86,46.99,92,2,1.21
660,Cabay,PH,13.88,121.38,77.0,93,78,3.0
661,Longyearbyen,SJ,78.22,15.64,26.6,73,75,25.28
662,Barrow,US,71.29,-156.79,10.4,78,1,25.28
663,East London,ZA,-33.02,27.91,66.2,68,20,3.36
664,Busselton,AU,-33.65,115.33,51.64,72,56,7.2
665,Severo-Kuril'sk,RU,50.68,156.12,36.55,78,100,13.38
666,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
667,Isangel,VU,-19.55,169.27,75.24,85,100,14.61
668,Pisco,PE,-13.7,-76.22,63.79,82,90,2.24
669,Lithgow,AU,-33.48,150.15,56.98,87,0,1.54
670,Chernyshevskiy,RU,63.01,112.47,27.25,98,100,8.14
671,Port Pirie,AU,-33.18,138.02,77.0,50,93,25.28
672,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
673,Altay,CN,47.87,88.12,32.14,82,100,2.77
674,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
675,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
676,Eureka,US,40.8,-124.16,41.34,86,90,8.05
677,Morón,AR,-34.65,-58.62,68.83,71,0,3.0
678,Yellowknife,CA,62.46,-114.35,0.63,70,40,16.11
679,Kavieng,PG,-2.57,150.8,82.06,73,12,3.18
680,Arraial do Cabo,BR,-22.97,-42.03,78.8,78,90,10.29
681,Hilo,US,19.73,-155.09,68.83,88,90,3.36
682,New Norfolk,AU,-42.78,147.06,61.03,57,0,2.77
683,Bluff,NZ,-46.6,168.33,46.99,92,7,4.65
684,Lincoln,US,40.8,-96.67,31.5,95,90,13.87
685,Pandan,PH,14.05,124.17,80.92,84,100,17.56
686,Cape Town,ZA,-33.93,18.42,66.2,45,0,28.86
687,Kargil,IN,34.57,76.1,37.0,56,100,4.99
688,Flinders,AU,-34.58,150.86,57.13,93,1,8.75
689,Ribeira Grande,PT,38.52,-28.7,60.8,87,75,20.8
690,East London,ZA,-33.02,27.91,66.2,68,20,3.36
691,Kahului,US,20.89,-156.47,72.88,65,1,14.99
692,Tasiilaq,GL,65.61,-37.64,30.74,95,100,11.72
693,Arraial do Cabo,BR,-22.97,-42.03,78.8,78,90,10.29
694,Dayong,CN,25.02,118.29,68.0,52,0,17.9
695,Vaini,TO,-21.2,-175.2,75.2,88,40,5.82
696,Natchitoches,US,31.77,-93.13,60.8,100,90,4.97
697,Asău,RO,46.43,26.4,43.0,86,100,3.42
698,Port Elizabeth,ZA,-33.92,25.57,66.2,68,75,10.29
699,Bluff,NZ,-46.6,168.33,46.99,92,7,4.65
700,Hofn,IS,64.25,-15.21,44.58,67,100,7.61
701,Maningrida,AU,-12.07,134.27,82.42,77,100,9.33
702,Vaini,TO,-21.2,-175.2,75.2,88,40,5.82
703,Palafrugell,ES,41.92,3.16,64.62,54,0,9.53
704,Bahía Honda,CU,22.9,-83.16,78.39,86,43,13.11
705,Mareeba,AU,-17.0,145.43,75.09,78,90,8.05
706,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
707,Hamilton,US,39.18,-84.53,60.53,72,75,9.17
708,New Norfolk,AU,-42.78,147.06,61.03,57,0,2.77
709,Juba,SS,4.85,31.58,90.57,40,40,8.68
710,Bani Walid,LY,31.76,13.99,71.78,37,0,8.55
711,Port Alfred,ZA,-33.59,26.89,63.88,69,100,6.42
712,Vila Franca do Campo,PT,37.72,-25.43,66.2,88,75,27.51
713,Camacha,PT,33.08,-16.33,68.0,68,75,14.99
714,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
715,Tiksi,RU,71.69,128.87,-9.62,89,98,5.46
716,Emerald,AU,-23.53,148.17,72.79,56,0,10.29
717,Bredasdorp,ZA,-34.53,20.04,69.8,40,0,17.22
718,Hermanus,ZA,-34.42,19.23,71.01,48,0,8.99
719,Mataura,NZ,-46.19,168.86,46.99,92,2,1.21
720,Riacho de Santana,BR,-13.61,-42.94,83.61,47,18,4.99
721,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
722,Aragarças,BR,-15.9,-52.25,80.08,69,100,8.46
723,Mar del Plata,AR,-38.0,-57.56,68.0,68,20,9.17
724,Busselton,AU,-33.65,115.33,51.64,72,56,7.2
725,New Norfolk,AU,-42.78,147.06,61.03,57,0,2.77
726,Vaini,TO,-21.2,-175.2,75.2,88,40,5.82
727,Provideniya,RU,64.38,-173.3,35.6,92,100,25.99
728,Bluff,NZ,-46.6,168.33,46.99,92,7,4.65
729,Cape Town,ZA,-33.93,18.42,66.2,45,0,28.86
730,Castro,BR,-24.79,-50.01,69.15,75,100,6.69
731,Saint-Philippe,RE,-21.36,55.77,71.47,69,90,20.8
732,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
733,Nan,TH,18.83,100.67,66.47,72,0,1.3
734,Ca Mau,VN,9.18,105.15,75.85,81,100,5.35
735,Tasiilaq,GL,65.61,-37.64,30.74,95,100,11.72
736,Krasnyy Chikoy,RU,50.36,108.75,28.38,94,40,3.24
737,Krasnyy Yar,RU,46.53,48.35,48.09,42,0,15.66
738,Hithadhoo,MV,-0.6,73.08,83.46,76,100,16.31
739,Cape Town,ZA,-33.93,18.42,66.2,45,0,28.86
740,Arraial do Cabo,BR,-22.97,-42.03,78.8,78,90,10.29
741,Qaanaaq,GL,77.48,-69.36,-4.27,62,0,5.93
742,Puyang,CN,29.46,119.89,52.81,73,0,3.65
743,Chara,RU,56.91,118.26,25.99,89,100,0.78
744,Zholymbet,KZ,51.74,71.71,31.75,92,0,12.64
745,Mataura,NZ,-46.19,168.86,46.99,92,2,1.21
746,Kawalu,ID,-7.38,108.21,72.81,92,100,1.23
747,Lorengau,PG,-2.02,147.27,82.8,72,71,6.69
748,Kaitangata,NZ,-46.28,169.85,50.0,82,8,4.0
749,Zyryanka,RU,65.75,150.85,-9.38,91,93,5.37
750,Faanui,PF,-16.48,-151.75,76.35,79,100,9.33
751,La Palma,US,33.85,-118.05,45.72,70,1,2.42
752,Mataura,NZ,-46.19,168.86,46.99,92,2,1.21
753,Jumla,NP,29.27,82.18,46.38,66,90,3.11
754,Westport,US,41.14,-73.36,53.24,100,1,7.72
755,Punta Arenas,CL,-53.15,-70.92,51.8,62,20,11.41
756,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
757,Constitución,CL,-35.33,-72.42,64.72,59,0,1.19
758,Freeport,US,40.66,-73.58,54.75,93,90,9.57
759,Yangjiang,CN,21.85,111.97,69.64,49,97,6.89
760,Albany,US,42.6,-73.97,48.97,100,1,2.73
761,Mar del Plata,AR,-38.0,-57.56,68.0,68,20,9.17
762,Puerto Ayora,EC,-0.74,-90.35,66.0,92,99,9.48
763,Busselton,AU,-33.65,115.33,51.64,72,56,7.2
764,Tasiilaq,GL,65.61,-37.64,30.74,95,100,11.72
765,Gamboma,CG,-1.88,15.86,81.27,68,81,4.38
766,Severo-Kuril'sk,RU,50.68,156.12,36.55,78,100,13.38
767,Punta Arenas,CL,-53.15,-70.92,51.8,62,20,11.41
768,Tuktoyaktuk,CA,69.45,-133.04,-6.36,89,0,8.3
769,Saint-Philippe,RE,-21.36,55.77,71.47,69,90,20.8
770,Markova,UA,48.68,24.41,42.8,87,90,6.71
771,Tura,IN,25.52,90.22,67.17,83,0,3.56
772,Arboletes,CO,8.85,-76.43,78.8,82,97,10.04
773,Ostrovnoy,RU,68.05,39.51,33.22,90,100,15.48
774,Busselton,AU,-33.65,115.33,51.64,72,56,7.2
775,Kushikino,JP,31.72,130.27,46.4,87,0,6.93
776,Busselton,AU,-33.65,115.33,51.64,72,56,7.2
777,Vaini,TO,-21.2,-175.2,75.2,88,40,5.82
778,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
779,New Norfolk,AU,-42.78,147.06,61.03,57,0,2.77
780,Carnduff,CA,49.17,-101.8,4.8,91,0,3.04
781,Tartagal,AR,-22.52,-63.8,80.6,61,40,3.29
782,San Patricio,US,28.02,-97.52,65.84,100,75,4.97
783,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
784,Katsuura,JP,35.13,140.3,55.17,62,75,5.82
785,Requena,ES,39.49,-1.1,65.5,52,0,3.0
786,Puerto Ayora,EC,-0.74,-90.35,66.0,92,99,9.48
787,Vaini,TO,-21.2,-175.2,75.2,88,40,5.82
788,Rio de Janeiro,BR,-22.9,-43.21,73.87,94,90,5.82
789,Saint Paul Harbor,US,57.79,-152.41,30.2,80,1,4.7
790,Sitka,US,57.05,-135.33,33.8,80,1,5.17
791,Nikolskoye,RU,59.7,30.79,37.69,64,0,8.95
792,Katsuura,JP,35.13,140.3,55.17,62,75,5.82
793,Port Lincoln,AU,-34.73,135.87,61.29,68,89,20.0
794,Kapaa,US,22.08,-159.32,76.03,74,75,13.87
795,Padang,ID,-0.95,100.35,78.89,75,100,2.26
796,Karratha,AU,-20.74,116.85,75.58,46,0,13.62
797,Turaif,SA,31.67,38.66,73.4,43,0,3.36
798,Dikson,RU,73.51,80.55,18.16,98,100,16.93
799,Mataura,NZ,-46.19,168.86,46.99,92,2,1.21
800,Labuhan,ID,-6.88,112.21,82.72,71,100,3.76
801,Ürümqi,CN,43.8,87.6,42.8,48,0,4.47
802,Bethel,US,41.37,-73.41,49.28,100,90,5.59
803,Puerto Ayora,EC,-0.74,-90.35,66.0,92,99,9.48
804,Mar del Plata,AR,-38.0,-57.56,68.0,68,20,9.17
805,Mirante do Paranapanema,BR,-22.29,-51.91,78.8,57,0,9.17
806,Srednekolymsk,RU,67.45,153.68,-6.93,90,98,13.62
807,Altamira,BR,-3.2,-52.21,78.8,83,75,2.24
808,Cabadiangan,PH,9.75,122.47,78.98,81,100,4.7
809,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
810,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
811,São Filipe,CV,14.9,-24.5,80.56,70,15,4.03
812,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
813,Cape Town,ZA,-33.93,18.42,66.2,45,0,28.86
814,Butaritari,KI,3.07,172.79,81.81,78,6,8.81
815,Saint Paul Harbor,US,57.79,-152.41,30.2,80,1,4.7
816,Muisne,EC,0.6,-80.03,73.33,84,98,11.36
817,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
818,Tiksi,RU,71.69,128.87,-9.62,89,98,5.46
819,Hobart,AU,-42.88,147.33,62.71,60,0,6.93
820,Busselton,AU,-33.65,115.33,51.64,72,56,7.2
821,Warwick,US,41.7,-71.42,52.84,93,90,3.36
822,Chui,UY,-33.7,-53.46,59.36,89,100,11.39
823,Mataura,NZ,-46.19,168.86,46.99,92,2,1.21
824,Pevek,RU,69.7,170.31,18.54,95,90,6.29
825,Saskylakh,RU,71.92,114.08,6.03,94,100,3.13
826,Cape Town,ZA,-33.93,18.42,66.2,45,0,28.86
827,Hualmay,PE,-11.1,-77.61,64.33,76,78,5.57
828,Mataura,NZ,-46.19,168.86,46.99,92,2,1.21
829,Kifrī,IQ,34.7,44.97,74.86,47,0,3.13
830,Ribeira Grande,PT,38.52,-28.7,60.8,87,75,20.8
831,Tiksi,RU,71.69,128.87,-9.62,89,98,5.46
832,Jamestown,US,42.1,-79.24,54.18,81,1,9.17
833,Black River,JM,18.03,-77.85,81.14,78,40,4.7
834,Beaverlodge,CA,55.22,-119.44,33.8,64,75,14.99
835,Durban,ZA,-29.86,31.03,65.43,88,75,4.7
836,Busselton,AU,-33.65,115.33,51.64,72,56,7.2
837,Gornopravdinsk,RU,60.05,69.9,26.19,97,98,6.42
838,East London,ZA,-33.02,27.91,66.2,68,20,3.36
839,Pringsewu,ID,-5.36,104.97,76.35,85,95,2.66
840,Xanxerê,BR,-26.88,-52.4,69.8,83,40,6.93
841,Yellowknife,CA,62.46,-114.35,0.63,70,40,16.11
842,Busselton,AU,-33.65,115.33,51.64,72,56,7.2
843,Airai,TL,-8.93,125.41,64.4,100,100,1.83
844,Hasaki,JP,35.73,140.83,43.93,81,75,3.36
845,Champerico,GT,14.3,-91.92,73.4,94,40,6.29
846,Geraldton,AU,-28.77,114.6,60.8,59,90,4.7
847,Albany,US,42.6,-73.97,48.97,100,1,2.73
848,Busselton,AU,-33.65,115.33,51.64,72,56,7.2
849,Coffs Harbour,AU,-30.3,153.13,64.44,72,90,5.82
850,Puerto Ayacucho,VE,5.66,-67.62,78.67,80,86,2.21
851,Kapaa,US,22.08,-159.32,76.03,74,75,13.87
852,Morgantown,US,39.63,-79.96,55.24,76,1,3.96
853,Husavik,IS,66.04,-17.34,41.0,56,0,4.7
854,Cidreira,BR,-30.18,-50.21,71.82,87,4,12.1
855,Barrow,US,71.29,-156.79,10.4,78,1,25.28
856,Cabo San Lucas,MX,22.89,-109.91,70.02,77,50,3.0
